# Preferred Replacements (original|suggestion)
# Use these to enforce specific vocabulary choices

# --- Media & Personal ---
போட்டோ|நிழற்படம்
போட்டோவை|நிழற்படத்தை
போட்டோவில்|நிழற்படத்தில்
போலீஸ்|காவல்துறை
போலீசை|காவல்துறையினரை
ப்ளீஸ்|தயவுசெய்து
உங்க|உங்கள்
குட்டிஸ்|குழந்தைகள்

# --- Transport & Travel ---
பஸ்|பேருந்து
பஸ்ஸில்|பேருந்தில்
பஸ்ஸை|பேருந்தை
பஸ்ஸுக்கு|பேருந்துக்கு
டிக்கெட்|பயணச்சீட்டு
டிக்கெட்டை|பயணச்சீட்டை
கார்|மகிழுந்து
லாரி|சரக்குந்து
டிரைவர்|ஓட்டுநர்
ஸ்டேஷன்|நிலையம்
ரோடு|சாலை
ரோட்டில்|சாலையில்
ரோட்டை|சாலையை
சைக்கிள்|மிதிவண்டி
பைக்|இருசக்கர வாகனம்
ஏர்போர்ட்|விமான நிலையம்
பிளைட்|விமானம்
டிரெயின்|தொடர்வண்டி
பிளாட்பார்ம்|நடைமேடை

# --- Technology ---
கம்ப்யூட்டர்|கணினி
கம்ப்யூட்டரில்|கணினியில்
கம்ப்யூட்டரை|கணினியை
கம்ப்யூட்டருக்கு|கணினிக்கு
மொபைல்|கைபேசி
மொபைலில்|கைபேசியில்
மொபைலை|கைபேசியை
நம்பர்|எண்
நம்பரை|எண்ணை
வீடியோ|காணொளி
ஆடியோ|ஒலி
மெசேஜ்|செய்தி
டிவி|தொலைக்காட்சி
ஆன்லைன்|இணையவழி

# --- Education & Career ---
ஸ்கூல்|பள்ளி
ஸ்கூலில்|பள்ளியில்
ஸ்கூலை|பள்ளியை
ஸ்கூலுக்கு|பள்ளிக்கு
காலேஜ்|கல்லூரி
ஆபீஸ்|அலுவலகம்
ஆபீஸில்|அலுவலகத்தில்
ஆபீஸை|அலுவலகத்தை
ஆபீஸுக்கு|அலுவலகத்திற்கு
ஸ்டூடண்ட்|மாணவர்
படிப்பு|கல்வி
டாக்டர்|மருத்துவர்
இன்ஜினியர்|பொறியாளர்
ஆர்டர்|ஆணை
பெர்மிஷன்|அனுமதி
பிளான்|திட்டம்
டெஸ்ட்|தேர்வு
ரிசல்ட்|முடிவு

# --- Banking & Finance ---
பேங்க்|வங்கி
பேங்கில்|வங்கியில்
பேங்க்|வங்கி
கார்டு|அட்டை
கார்டில்|அட்டையில்
காசு|பணம்
செக்|காசோலை
பாஸ்போர்ட்|கடவுச்சீட்டு
விசா|நுழைவு இசைவு

# --- Objects & Stationery ---
புக்|புத்தகம்
புக்கில்|புத்தகத்தில்
புக்கை|புத்தகத்தை
பேப்பர்|தாள்
பென்சில்|கரிக்கோல்
பேனா|எழுதுகோல்
பேக்|பை
பேக்கில்|பையில்
பேக்கை|பையை

# --- Home & Professional ---
டேபிள்|மேசை
சேர்|நாற்காலி
விண்டோ|சன்னல்
டோர்|கதவு
ஹோட்டல்|விடுதி
ரூம்|அறை
ரூமில்|அறையில்
ரூமை|அறையை

# --- General Daily Use ---
நியூஸ்|செய்தி
லைட்|விளக்கு
பேன்|மின்விசிறி
டைம்|நேரம்
லஞ்ச்|மதிய உணவு
காபி|குளம்பி
டீ|தேநீர்
ரெடி|தயார்
வெரி|மிகவும்
சூப்பர்|அருமை
சிட்டி|மாநகரம்
ஏரியா|பகுதி
